estimator		mean_fit_time	std_fit_time	mean_score_time	std_score_time
ExtraTreesClassifier	0	0.010287046432495117	0.0006061102447680634	0.004716532570975167	0.0008395357877691675
ExtraTreesClassifier	1	0.018739734377179827	0.0028179312706513595	0.00486581666128976	0.0005169928589407427
ExtraTreesClassifier	2	0.03644698006766183	0.003498445497852959	0.0066070556640625	0.0006956152744104969
ExtraTreesClassifier	3	0.010963950838361467	0.0016553078364924723	0.004218135561261859	0.0005910193357941855
ExtraTreesClassifier	4	0.020876339503696988	0.0029269920539047706	0.004721130643572126	0.0006502712091519183
ExtraTreesClassifier	5	0.03969216346740723	0.004333817710412438	0.006439549582345145	0.0004146676315409671
ExtraTreesClassifier	6	0.012165989194597517	0.0008979295827135704	0.0042918409620012555	0.000591296145638314
ExtraTreesClassifier	7	0.02649658066885812	0.002956616902007706	0.005663701466151646	0.0009029753936699982
ExtraTreesClassifier	8	0.05376212937491281	0.0072642432617148695	0.00829247065952846	0.001162939455943916
ExtraTreesClassifier	9	0.01596900394984654	0.0022593142119228713	0.00486271721976144	0.0008716988840506112
ExtraTreesClassifier	10	0.0270669800894601	0.0018144535707302217	0.005879640579223633	0.0009721216689709102
ExtraTreesClassifier	11	0.054970502853393555	0.00823427406639824	0.008803299495152064	0.0016676823356100692
ExtraTreesClassifier	12	0.009100982121058874	0.0004955078993356873	0.003864765167236328	0.0005851883019816031
ExtraTreesClassifier	13	0.017771312168666294	0.002254108054510426	0.004575933728899274	0.0006241228208703579
ExtraTreesClassifier	14	0.03307832990373884	0.00443375395423678	0.005720513207571847	0.0006441427333850069
ExtraTreesClassifier	15	0.010300159454345703	0.0015317214079640237	0.00393291882106236	0.0007795112169268288
ExtraTreesClassifier	16	0.019803830555507114	0.002191530868573501	0.005006756101335798	0.0005327813042712902
ExtraTreesClassifier	17	0.036561897822788784	0.0020522404473593756	0.006794180188860212	0.000525734698760727
ExtraTreesClassifier	18	0.015319994517735072	0.0018450792131790821	0.00436091423034668	0.0006375004552739432
ExtraTreesClassifier	19	0.027545860835484097	0.0041774351215966695	0.005935703005109515	0.001049797761257243
ExtraTreesClassifier	20	0.04993697575160435	0.003961469154599763	0.007801703044346401	0.0007975580046556509
ExtraTreesClassifier	21	0.014610494886125838	0.0007358713472913023	0.004150356565202985	0.00022610933777971278
ExtraTreesClassifier	22	0.027955055236816406	0.0027609682647700027	0.005359275000435966	0.0005166157361436723
ExtraTreesClassifier	23	0.055464710508074076	0.0047178893915412875	0.008867876870291573	0.001276846070337265
RandomForestClassifier	0	0.018521581377301897	0.0010039248980525167	0.0037969861711774555	0.00036441214307334917
RandomForestClassifier	1	0.03604885510035923	0.001755842827180277	0.004435266767229352	0.0004181690104681514
RandomForestClassifier	2	0.07451489993504115	0.006141558683230187	0.006517444338117327	0.0010275615885389313
RandomForestClassifier	3	0.021236862455095564	0.0017045310818706901	0.003954614911760602	0.0006403841552941758
RandomForestClassifier	4	0.042199747903006415	0.004213372807388126	0.004621199199131557	0.00043179355990937893
RandomForestClassifier	5	0.08051926749093193	0.004247980939362375	0.0063642774309430805	0.0006427517488655408
RandomForestClassifier	6	0.026012659072875977	0.00403791195398825	0.004005806786673409	0.0005384172194951365
RandomForestClassifier	7	0.04612527574811663	0.0018193491119972455	0.004935707364763532	0.000780587269870239
RandomForestClassifier	8	0.09504996027265276	0.005011810074461209	0.006878035409109933	0.0009363517911001256
RandomForestClassifier	9	0.025192226682390486	0.0017048100662157574	0.0042999812534877235	0.0003867048318242343
RandomForestClassifier	10	0.0527738162449428	0.006496280153605152	0.005790199552263532	0.001100549704833762
RandomForestClassifier	11	0.10182418142046247	0.0074515753085915735	0.007653304508754185	0.001356776448636752
RandomForestClassifier	12	0.020188842500959123	0.0030849276505632425	0.0037183420998709543	0.0005886903434841399
RandomForestClassifier	13	0.04109930992126465	0.006538917167194925	0.0047947679247174945	0.0006535490165036419
RandomForestClassifier	14	0.07262962205069405	0.004523892086898877	0.005370650972638812	0.0005268584132209192
RandomForestClassifier	15	0.0235377379826137	0.0037764057873376313	0.0044482094900948664	0.0006201151080356375
RandomForestClassifier	16	0.043873991285051615	0.0029964035510526422	0.004938738686697823	0.0009809515301529117
RandomForestClassifier	17	0.09330047879900251	0.005498854738942248	0.006576742444719587	0.0009042222956688615
RandomForestClassifier	18	0.028055497578212192	0.0031602120489974844	0.004576648984636579	0.0004960899898001128
RandomForestClassifier	19	0.05624505451747349	0.0032166433341701277	0.00558086803981236	0.0008199315453038223
RandomForestClassifier	20	0.11152935028076172	0.00666499248933694	0.007081576756068638	0.0008635877296836791
RandomForestClassifier	21	0.03140718596322196	0.003000794087644137	0.004439967019217355	0.0007536108540106065
RandomForestClassifier	22	0.05945651871817453	0.003752589861628224	0.005078826631818499	0.0004986974114093654
RandomForestClassifier	23	0.12322718756539482	0.014453304303471285	0.007374729428972516	0.0011637601883568375
DecisionTreeClassifier	0	0.003213984625680106	0.0004521323685717229	0.0027869769505092074	0.0002486293422163596
DecisionTreeClassifier	1	0.0033624512808663504	0.0004382379461464591	0.0032915047236851285	0.0005299209518384471
DecisionTreeClassifier	2	0.0036480086190359934	0.0006952920612766463	0.0032213756016322543	0.0004567534977698773
DecisionTreeClassifier	3	0.0046466078077043805	0.0006979936918265208	0.0032218864985874723	0.000451332008281527
DecisionTreeClassifier	4	0.002790280750819615	0.00037058063714351776	0.0028591156005859375	0.0003466508222693642
DecisionTreeClassifier	5	0.003143514905657087	0.0002231977557896083	0.00257526125226702	0.00017503138475304472
DecisionTreeClassifier	6	0.0040808745792933875	0.0004229364127283962	0.0029360566820417133	0.00017786522346129228
DecisionTreeClassifier	7	0.005660670144217355	0.0009179536199132745	0.0030732836042131695	0.00032249086375580515
AdaBoostClassifier	0	0.03934216499328613	0.0008816651911620972	0.006081649235316685	0.0007231200715940939
AdaBoostClassifier	1	0.08166735512869698	0.006293099925379627	0.00912271227155413	0.0007306967842075042
AdaBoostClassifier	2	0.1668390887124198	0.009249206470409848	0.01631518772670201	0.002351395951478796
AdaBoostClassifier	3	0.31945436341421946	0.010178647976617166	0.027995313916887556	0.004582723905928051
GradientBoostingClassifier	0	0.051755734852382114	0.0008500469948760395	0.0032894951956612723	0.00024892026570147777
GradientBoostingClassifier	1	0.10506040709359306	0.0034583002344942336	0.00344123159136091	0.0004038103506479835
GradientBoostingClassifier	2	0.21312107358660018	0.007468242245553264	0.004005329949515206	0.0005372284594677469
GradientBoostingClassifier	3	0.41484321866716656	0.006457754071913158	0.004430873053414481	0.0003248874575010068
GradientBoostingClassifier	4	0.05551341601780483	0.00387237329253517	0.0036441939217703684	0.0007452997625239914
GradientBoostingClassifier	5	0.1125359194619315	0.0054970548404415535	0.0036568641662597656	0.0005294577227333561
GradientBoostingClassifier	6	0.21137033190046037	0.011083407631821515	0.0040770939418247765	0.0004949376899129402
GradientBoostingClassifier	7	0.4250706604548863	0.008572675249269357	0.004721164703369141	0.00036338238612152856
GradientBoostingClassifier	8	0.051472289221627374	0.0013924871518123537	0.0033601692744663785	0.00043757092735574246
GradientBoostingClassifier	9	0.10387662478855678	0.0033857337622748653	0.004003729139055524	0.0005313720225808852
GradientBoostingClassifier	10	0.21348166465759277	0.008188256686512147	0.00422736576625279	0.00044431675560882225
GradientBoostingClassifier	11	0.43269423076084684	0.011801120651635407	0.004929746900285993	0.0007302180595870385
GradientBoostingClassifier	12	0.05336979457310268	0.0033635841997889148	0.0035769258226667133	0.00032154273271151014
GradientBoostingClassifier	13	0.10560713495526995	0.003079921665123768	0.004090309143066406	0.0006200798231373811
GradientBoostingClassifier	14	0.21020923342023576	0.0033850861985980354	0.004216705049787249	0.0006994532121750317
GradientBoostingClassifier	15	0.4214861733572824	0.01747269769053476	0.004359994615827288	0.00044279472610461463
SMOTE__ExtraTreesClassifier	0	0.010943514960152763	0.0004203399599394876	0.003576244626726423	0.00032208738845833373
SMOTE__ExtraTreesClassifier	1	0.0119476318359375	0.0014553843870305462	0.003933531897408622	0.0004955523772874947
SMOTE__ExtraTreesClassifier	2	0.012660571507045202	0.0018455623576545165	0.003651584897722517	0.00035205803040491284
SMOTE__ExtraTreesClassifier	3	0.010517154421125139	0.0005979711034641837	0.0037216459001813617	0.00024641834976147785
SMOTE__ExtraTreesClassifier	4	0.01159116200038365	0.001079816048661437	0.003717184066772461	0.0005236889539775071
SMOTE__ExtraTreesClassifier	5	0.013305187225341797	0.002622421530753334	0.00414555413382394	0.0007411824293039311
SMOTE__ExtraTreesClassifier	6	0.011663743427821569	0.0016874533351660741	0.003719534192766462	0.0005907915684341044
SMOTE__ExtraTreesClassifier	7	0.01233468736921038	0.0016573538713524788	0.003679990768432617	0.00021475693537302226
SMOTE__ExtraTreesClassifier	8	0.012736388615199499	0.0012192734374757298	0.004077536719185966	0.0006285074600263392
SMOTE__ExtraTreesClassifier	9	0.019407953534807478	0.0009391862241929012	0.004652466092790876	0.000922118099248276
SMOTE__ExtraTreesClassifier	10	0.019133874348231723	0.0007075454658062614	0.0041468143463134766	0.0004382871507547023
SMOTE__ExtraTreesClassifier	11	0.02221723965236119	0.0033174899262043782	0.004858051027570452	0.0007450048365364545
SMOTE__ExtraTreesClassifier	12	0.024342332567487444	0.0039770798560882555	0.0052928924560546875	0.000839808250915179
SMOTE__ExtraTreesClassifier	13	0.020135470799037387	0.002312591284545811	0.0044351305280412945	0.0006749296973499353
SMOTE__ExtraTreesClassifier	14	0.02142446381705148	0.001582734712670461	0.0045053958892822266	0.00027014621133315966
SMOTE__ExtraTreesClassifier	15	0.020263263157435825	0.003057109063031145	0.0048651354653494695	0.0009923852476234896
SMOTE__ExtraTreesClassifier	16	0.0222322940826416	0.0031612558656797184	0.004947730473109654	0.0007512912851166102
SMOTE__ExtraTreesClassifier	17	0.020682573318481445	0.0015929540768699721	0.004584380558558873	0.0004255767098380076
SMOTE__ExtraTreesClassifier	18	0.03565290996006557	0.0028473247998659803	0.006153311048235212	0.0008376229480566491
SMOTE__ExtraTreesClassifier	19	0.03894570895603725	0.003180119212878821	0.006448950086321149	0.000993500582726609
SMOTE__ExtraTreesClassifier	20	0.04089188575744629	0.0045804810663383055	0.006151778357369559	0.0012488522001993746
SMOTE__ExtraTreesClassifier	21	0.03700825146266392	0.0030284205404302843	0.006647484643118722	0.0013022761130315381
SMOTE__ExtraTreesClassifier	22	0.0429539680480957	0.006169256425676428	0.005795001983642578	0.0005873715872170537
SMOTE__ExtraTreesClassifier	23	0.0439413275037493	0.006832212019796047	0.0065839290618896484	0.001116329843787418
SMOTE__ExtraTreesClassifier	24	0.03600284031459263	0.0023485423017958053	0.006434747150966099	0.0009823570915319794
