estimator		mean_fit_time	std_fit_time	mean_score_time	std_score_time
ExtraTreesClassifier	0	0.008088282176426478	0.00017641252053799832	0.0035023008074079242	0.00046291126347530645
ExtraTreesClassifier	1	0.013157640184674944	0.0007469824644307136	0.004154409681047712	0.0007408887109188274
ExtraTreesClassifier	2	0.02893655640738351	0.005839224079541322	0.00472085816519601	0.00036295004424346427
ExtraTreesClassifier	3	0.007885149547031947	0.0008544667440944183	0.00342317989894322	0.00039854203453810354
ExtraTreesClassifier	4	0.01503753662109375	0.00237786935197003	0.0037911960056849887	0.00036478171399863415
ExtraTreesClassifier	5	0.026851211275373186	0.003255019137652791	0.0056569235665457586	0.001204129483473275
ExtraTreesClassifier	6	0.008155414036342077	0.0005850841995548382	0.0034426280430385043	0.00017937956119597824
ExtraTreesClassifier	7	0.014605556215558733	0.00081269187012538	0.00387157712663923	0.0005066783049821028
ExtraTreesClassifier	8	0.029381888253348216	0.0028128837617881833	0.005078247615269252	0.00032004014913391724
ExtraTreesClassifier	9	0.0083878721509661	0.0003664305465728527	0.0032866341727120535	0.0002484327291099361
ExtraTreesClassifier	10	0.015403543199811662	0.0019994335758434234	0.004368713923863002	0.0007457635777734351
ExtraTreesClassifier	11	0.028158698763166155	0.00284159406848638	0.005506345203944615	0.0008892166461403878
ExtraTreesClassifier	12	0.007280690329415458	0.0003573415349548601	0.0033619063241141184	0.00022227157356362296
ExtraTreesClassifier	13	0.013082708631243025	0.0005639366362812426	0.0038573741912841797	0.00022558163288483802
ExtraTreesClassifier	14	0.024252074105398997	0.0014167545010179013	0.004445927483694894	0.0005021720452103752
ExtraTreesClassifier	15	0.007792881556919643	0.0011626885624522556	0.0033644267490931918	0.0005149439333237541
ExtraTreesClassifier	16	0.013368027550833566	0.0007450638837002822	0.003933940614972796	0.0006828908814491708
ExtraTreesClassifier	17	0.02583803449358259	0.0012073494035379697	0.004722629274640765	0.0002448216835259342
ExtraTreesClassifier	18	0.00887751579284668	0.001979363880699398	0.003504855292184012	0.00046228119450345174
ExtraTreesClassifier	19	0.014772210802350725	0.001424420419332239	0.004082918167114258	0.0004147598410258252
ExtraTreesClassifier	20	0.026994841439383372	0.001186801350424916	0.004873071398053851	0.0005139902566471385
ExtraTreesClassifier	21	0.009453364780970983	0.002118088043558795	0.003933906555175781	0.0008213750259412933
ExtraTreesClassifier	22	0.01509131704057966	0.0016618456529291575	0.004025493349347796	0.0008848069840967157
ExtraTreesClassifier	23	0.028949669429234097	0.003575644967639406	0.004714897700718471	0.0002462695171734407
RandomForestClassifier	0	0.010541030338832311	0.00041727582968024995	0.00335935183933803	0.00022534793621606687
RandomForestClassifier	1	0.018589156014578685	0.000563963641143783	0.004003558840070452	0.0005350014169338137
RandomForestClassifier	2	0.035821029118129184	0.0016633248094526593	0.004614625658307757	0.0003838318559613032
RandomForestClassifier	3	0.010883808135986328	0.0009983569378899768	0.0030763489859444754	0.00041315054359521245
RandomForestClassifier	4	0.019743953432355608	0.0016397738727820478	0.0034420149666922434	0.00018184707120031976
RandomForestClassifier	5	0.03961689131600516	0.003499553059362888	0.0056466034480503625	0.0012199728884322242
RandomForestClassifier	6	0.01044668470110212	0.0004954622747947069	0.0032119410378592356	0.00024751859329180486
RandomForestClassifier	7	0.021657569067818776	0.0020339806396631696	0.004216330392020089	0.0007485796764524805
RandomForestClassifier	8	0.0404937607901437	0.0029271391063969907	0.005224568503243583	0.0010015767278497715
RandomForestClassifier	9	0.011164086205618722	0.0007442270315398112	0.0030761786869594027	0.00031822624829576244
RandomForestClassifier	10	0.02224322727748326	0.005116548137900949	0.004734924861363002	0.0007105044950142747
RandomForestClassifier	11	0.04036120006016323	0.004612122592443587	0.004796198436192104	0.0005264674441717986
RandomForestClassifier	12	0.011589016233171736	0.0018409360660232952	0.0035870415823800223	0.0003341906738746219
RandomForestClassifier	13	0.019317150115966797	0.0005919848751976053	0.0036581584385463168	0.00035168138243354426
RandomForestClassifier	14	0.036067043031964986	0.0005871817019421386	0.0043610164097377235	0.0003563436852414119
RandomForestClassifier	15	0.011158840996878487	0.0009915209021321074	0.0034326485225132535	0.0004984481061000001
RandomForestClassifier	16	0.02174414907182966	0.002682971987691031	0.0037295137132917133	0.0003854701211935663
RandomForestClassifier	17	0.04446465628487723	0.0058180267589499944	0.005434615271432059	0.0013507324145004165
RandomForestClassifier	18	0.013174329485212053	0.0020174025300552967	0.003646782466343471	0.0005790336670468961
RandomForestClassifier	19	0.025562524795532227	0.004196069148474198	0.004376547677176339	0.0007467673651426166
RandomForestClassifier	20	0.04882754598345075	0.004442899179891448	0.005951302392142159	0.0009245805998784063
RandomForestClassifier	21	0.013090031487601144	0.002279043316487102	0.004005023411342076	0.0008001596833625747
RandomForestClassifier	22	0.02339117867606027	0.004298326938605464	0.004024062837873187	0.0007358339590796684
RandomForestClassifier	23	0.047721147537231445	0.0047117560523933415	0.00493546894618443	0.0009055274251645669
DecisionTreeClassifier	0	0.0015726430075509207	0.0003177393136503583	0.0025286333901541574	0.00021844129134851055
DecisionTreeClassifier	1	0.0015722683497837611	0.00017418477231544928	0.002787896565028599	0.0004557977607544907
DecisionTreeClassifier	2	0.0012150491986955916	0.000248203465013733	0.002577407019478934	0.0004131865191666035
DecisionTreeClassifier	3	0.0015751634325299943	0.00017904338258565731	0.002645254135131836	0.0004394282180676067
DecisionTreeClassifier	4	0.0014998912811279297	0.0002672419925637021	0.002573592322213309	0.0003221119296685106
DecisionTreeClassifier	5	0.0014314651489257812	0.00032176899358717277	0.00243030275617327	0.00032284312673281056
