estimator		mean_fit_time	std_fit_time	mean_score_time	std_score_time
ExtraTreesClassifier	0	0.008009842463902064	0.0005996047985888351	0.0037200450897216797	0.00045120903490954823
ExtraTreesClassifier	1	0.013947486877441406	0.0016187258720621542	0.004220724105834961	0.0004510945583482996
ExtraTreesClassifier	2	0.02767998831612723	0.003022762644421444	0.005938529968261719	0.0007306946631423795
ExtraTreesClassifier	3	0.008875506264822823	0.002174089866791215	0.0035089424678257535	0.0008912943030154947
ExtraTreesClassifier	4	0.013752528599330358	0.0010169637080622205	0.0037913663046700613	0.0002482847115530045
ExtraTreesClassifier	5	0.02582481929234096	0.0013606721199062026	0.005221809659685407	0.0005943020557531447
ExtraTreesClassifier	6	0.00772653307233538	0.0004531524833144642	0.003505059650966099	0.000377082324109639
ExtraTreesClassifier	7	0.014331783567156111	0.0009793326934018098	0.004144464220319476	0.0003538926528057129
ExtraTreesClassifier	8	0.02607764516557966	0.0007686016475568785	0.004716770989554269	0.0002503871501671881
ExtraTreesClassifier	9	0.007526295525687081	0.00029330834226388454	0.0032274723052978516	0.00036385926999642855
ExtraTreesClassifier	10	0.013674940381731306	0.0006320453525012943	0.003720079149518694	0.0003675731116149493
ExtraTreesClassifier	11	0.02872429575238909	0.0036752018004086013	0.005550180162702288	0.0007141709324266296
ExtraTreesClassifier	12	0.008026123046875	0.0016211391311349375	0.0033574444907052176	0.0006922456411412403
ExtraTreesClassifier	13	0.013022559029715402	0.0012889806589599267	0.0035060133252825055	7.4677221501452956e-06
ExtraTreesClassifier	14	0.023967845099312917	0.0004335612826623576	0.004645960671561105	0.00035254934428228266
ExtraTreesClassifier	15	0.007868664605276925	0.0007417850358004101	0.0036464078085763113	0.0006385348652210035
ExtraTreesClassifier	16	0.01452537945338658	0.0028741370840618358	0.0038657869611467633	0.0006909907943829419
ExtraTreesClassifier	17	0.032259157725742886	0.007829387299478671	0.005937678473336356	0.0013245949504697612
ExtraTreesClassifier	18	0.009875876562935966	0.0018897573565392325	0.004077366420200893	0.000824616899815268
ExtraTreesClassifier	19	0.01622063773018973	0.0030350097715268246	0.004162890570504325	0.0007359439159258578
ExtraTreesClassifier	20	0.028881992612566267	0.002880131345016093	0.0049403394971575055	0.0008567936147372455
ExtraTreesClassifier	21	0.0075222764696393695	0.00028742246408120295	0.003156219209943499	0.00022215587654132683
ExtraTreesClassifier	22	0.01374568258013044	0.0007494645992236335	0.003586087908063616	0.00017464833051689002
ExtraTreesClassifier	23	0.030100447790963308	0.003609236941509954	0.005074841635567802	0.0006201823142169534
RandomForestClassifier	0	0.010345152446201869	0.00035926398531204	0.003144979476928711	0.00022607703340366708
RandomForestClassifier	1	0.0195596558707101	0.002138418144514007	0.0037927968161446707	0.0007020695834522198
RandomForestClassifier	2	0.03768771035330636	0.002891421500153794	0.0051528385707310265	0.0006344670031506427
RandomForestClassifier	3	0.011152505874633789	0.0017069541831010826	0.0035051958901541574	0.00037914672412170175
RandomForestClassifier	4	0.01956803458077567	0.0023051769592911052	0.003860541752406529	0.0003502836369255082
RandomForestClassifier	5	0.0384037835257394	0.004052651840442331	0.00480168206351144	0.0005258609589109972
RandomForestClassifier	6	0.012326921735491072	0.003232709339898957	0.0037559781755719867	0.0005529420204484886
RandomForestClassifier	7	0.020061050142560686	0.001129694363618798	0.003724166325160435	0.0003666956741935059
RandomForestClassifier	8	0.0375786508832659	0.0015134212698683517	0.004874842507498605	0.0005255729610759795
RandomForestClassifier	9	0.010206188474382673	0.00040515619049069835	0.003082343510219029	0.0003199957173264242
RandomForestClassifier	10	0.0221926144191197	0.004267121725229168	0.004217760903494698	0.0006459875346478522
RandomForestClassifier	11	0.04024202483040946	0.0028370508560039203	0.0052176543644496375	0.0009971978894083371
RandomForestClassifier	12	0.011020592280796595	0.002345918289667394	0.00350431033543178	0.0006532503667505108
RandomForestClassifier	13	0.01917992319379534	0.0015073671717484333	0.0037884371621268137	0.00024978005666155523
RandomForestClassifier	14	0.040443522589547296	0.007412491241801718	0.005446399961199079	0.0010965954841909865
RandomForestClassifier	15	0.010369266782488142	0.000515711336968198	0.003289120537894113	0.0002470876982911091
RandomForestClassifier	16	0.020053931644984653	0.002672238919759309	0.0035747800554547992	0.00042006907745005626
RandomForestClassifier	17	0.03954080172947475	0.0040417081601582866	0.004789693014962333	0.0005886471031183037
RandomForestClassifier	18	0.010738509041922433	0.0005350115928987656	0.003005061830793108	0.0002673711464281198
RandomForestClassifier	19	0.020771775926862444	0.0014482579284940146	0.0036487579345703125	0.0003521788644008765
RandomForestClassifier	20	0.040600674492972236	0.0032669390537088906	0.004951136452811105	0.000591923772822008
RandomForestClassifier	21	0.010298558643886022	0.0003669541263926224	0.003146920885358538	0.0002265978866924386
RandomForestClassifier	22	0.019849300384521484	0.0017136168384330717	0.0035169124603271484	3.162158219779752e-05
RandomForestClassifier	23	0.0389948913029262	0.0030027105921376558	0.0050062452043805805	0.0006559606628114163
DecisionTreeClassifier	0	0.0017175674438476562	0.00024498503843466287	0.002714668001447405	0.0005244296079440891
DecisionTreeClassifier	1	0.001428706305367606	0.00031914985788982517	0.002571753093174526	0.0001747549271192609
DecisionTreeClassifier	2	0.0016441685812813894	0.0004434993066789267	0.002689736230032785	0.000566003495293983
DecisionTreeClassifier	3	0.0016468933650425502	0.000229879489014726	0.002592870167323521	0.0004717788403502852
DecisionTreeClassifier	4	0.0014997891017368861	2.502873702849502e-07	0.002932207924979074	0.0005627176476511231
DecisionTreeClassifier	5	0.0013593605586460658	0.00022470618546346024	0.00235990115574428	0.0002274725458172289
DecisionTreeClassifier	6	0.0017180783408028738	0.0002522276185630577	0.0027165072304861887	0.000702908116660425
DecisionTreeClassifier	7	0.0014288766043526785	0.0004162911954276946	0.0027903148106166293	0.000453093863232439
AdaBoostClassifier	0	0.02087879180908203	0.0002241620124248202	0.005071026938302177	0.00017477073211700993
AdaBoostClassifier	1	0.04619250978742327	0.008193588786564497	0.00833266122000558	0.0021676521957413692
AdaBoostClassifier	2	0.08613249233790807	0.004511915001773711	0.012069599969046456	0.0006904137694889289
