estimator		mean_fit_time	std_fit_time	mean_score_time	std_score_time
ExtraTreesClassifier	0	0.009948083332606725	0.0004857641445382513	0.003932271684919085	0.00017223515008619984
ExtraTreesClassifier	1	0.019395112991333008	0.0020905926280494584	0.004949671881539481	0.0005120623398691353
ExtraTreesClassifier	2	0.036480767386300225	0.0039587270062319165	0.006967578615461077	0.0008710518985681942
ExtraTreesClassifier	3	0.012387990951538086	0.001894616140064196	0.004454783030918666	0.0007076608689519825
ExtraTreesClassifier	4	0.023511545998709544	0.0021275036708610054	0.005091020039149693	0.0004947136144061064
ExtraTreesClassifier	5	0.04197624751499721	0.003133937131595832	0.008041858673095703	0.0009754727517997042
ExtraTreesClassifier	6	0.017375469207763672	0.002278753015270486	0.005039691925048828	0.0005144986129567838
ExtraTreesClassifier	7	0.03485069956098284	0.003681385048004203	0.007029192788260323	0.0010115816731771606
ExtraTreesClassifier	8	0.06829779488699776	0.004594580921099862	0.011314937046595983	0.0013983023480702674
ExtraTreesClassifier	9	0.021703175136021206	0.0026905664959232405	0.005434410912649972	0.0009029945409210799
ExtraTreesClassifier	10	0.0372950690133231	0.0041068219292099434	0.007670777184622628	0.0010194440455993442
ExtraTreesClassifier	11	0.07536755289350237	0.0030972097055250113	0.011801413127354212	0.0015625130985100657
ExtraTreesClassifier	12	0.0107290404183524	0.0024017354273253954	0.004151276179722377	0.0008359855472740194
ExtraTreesClassifier	13	0.019290174756731306	0.0027106668470089756	0.005201407841273716	0.0010914066477294637
ExtraTreesClassifier	14	0.03462491716657366	0.003951801893799283	0.005792345319475446	0.0003643442316308432
ExtraTreesClassifier	15	0.011949164526803153	0.0018146303620418852	0.0042237213679722375	0.0005899852451623539
ExtraTreesClassifier	16	0.020571981157575334	0.001502689808094876	0.0053021907806396484	0.0008139637027523853
ExtraTreesClassifier	17	0.040829317910330634	0.0013597809577413724	0.006940160478864398	0.0003214069524277799
ExtraTreesClassifier	18	0.01749352046421596	0.0008079619403906693	0.0045789991106305805	0.0003211557229750508
ExtraTreesClassifier	19	0.035809925624302456	0.004819884472049561	0.0067212241036551336	0.0006486802966952815
ExtraTreesClassifier	20	0.06979904856000628	0.002145669238022828	0.011386701038905553	0.00044855023007407376
ExtraTreesClassifier	21	0.02369536672319685	0.003149847637306778	0.005650350025721959	0.0008343257370742011
ExtraTreesClassifier	22	0.041397537503923686	0.0068107080091828155	0.007384811128888812	0.0015547433641738477
ExtraTreesClassifier	23	0.07638491903032575	0.006222755172701265	0.011603287288120814	0.0007635033145323002
RandomForestClassifier	0	0.02008976255144392	0.0006237581114488517	0.003502539225987026	5.386834440889766e-06
RandomForestClassifier	1	0.03942980085100446	0.0026426991881187403	0.004723719188145229	0.0006450301208615048
RandomForestClassifier	2	0.07931930678231376	0.0044911634214945175	0.006227357046944755	0.0009230078277562704
RandomForestClassifier	3	0.031012603214808872	0.0016048401779041109	0.0048596518380301336	0.0006913256639261547
RandomForestClassifier	4	0.054894208908081055	0.004951959004285711	0.0049370697566441125	0.0004969277578238218
RandomForestClassifier	5	0.10330285344805036	0.00271824668584502	0.006651878356933594	0.0009578217767181868
RandomForestClassifier	6	0.03574378149850028	0.0013388355329190652	0.004076208387102399	0.0004216171130736865
RandomForestClassifier	7	0.07520495142255511	0.0046785913225772194	0.005574737276349749	0.0009786134919934784
RandomForestClassifier	8	0.15449908801487514	0.010202798700004932	0.008744989122663225	0.001355821649731283
RandomForestClassifier	9	0.05029123170035226	0.00465521496470594	0.005163805825369698	0.0009426275412533413
RandomForestClassifier	10	0.09075365747724261	0.0058927983417428565	0.006437233516148159	0.0009456831966831964
RandomForestClassifier	11	0.1920670781816755	0.015041457891282271	0.009599992207118444	0.0012687263159596055
RandomForestClassifier	12	0.028791018894740512	0.0031933192812196305	0.004429476601736886	0.0007277288267684754
RandomForestClassifier	13	0.047949211938040595	0.003129533931643926	0.004512650626046317	0.0005415653730619512
RandomForestClassifier	14	0.09920729909624372	0.006863124879109668	0.006584269659859794	0.0011917275608544862
RandomForestClassifier	15	0.03893593379429409	0.00498750035691049	0.004359517778669085	0.0006904203392467043
RandomForestClassifier	16	0.0713583060673305	0.004287147199772796	0.005513565880911691	0.000877698724840087
RandomForestClassifier	17	0.134012086050851	0.00542511285856414	0.007005010332380023	0.0012281898490130458
RandomForestClassifier	18	0.05529407092503139	0.00705057145808236	0.00450587272644043	0.00046666408885942995
RandomForestClassifier	19	0.10625018392290388	0.01177706579741373	0.006151539938790458	0.0008731102549890869
RandomForestClassifier	20	0.2166022573198591	0.015042736206195582	0.008364779608590263	0.0009912659741176336
RandomForestClassifier	21	0.06809891973223005	0.009253832356132193	0.00514153071812221	0.00095928616464885
RandomForestClassifier	22	0.13991696493966238	0.013924732663670922	0.007006917681012835	0.001102884355230275
RandomForestClassifier	23	0.26719750676836285	0.014195450956548587	0.010045255933489119	0.0012299566734305157
DecisionTreeClassifier	0	0.003784724644252232	0.0004523259199728125	0.0031452860151018414	0.0005818591723576218
DecisionTreeClassifier	1	0.004787887845720563	0.0005289065701596648	0.003290482929774693	0.0005244282807063934
DecisionTreeClassifier	2	0.007720402308872768	0.00045374297189325753	0.003789595195225307	0.0003636601132484383
DecisionTreeClassifier	3	0.009942497525896345	0.0009409831350423868	0.003358261925833566	0.00043924099496716994
DecisionTreeClassifier	4	0.0039338043757847375	0.0004963642651438093	0.0031926631927490234	0.0005598965208820598
DecisionTreeClassifier	5	0.0053632259368896484	0.00022583196809062512	0.002715417316981724	0.00045305434025608263
DecisionTreeClassifier	6	0.009867157254900252	0.0015275700620790366	0.0034322738647460938	0.0006797178871307568
DecisionTreeClassifier	7	0.014732701437813895	0.0018339643059320685	0.0031427315303257535	0.0003493795340483482
AdaBoostClassifier	0	0.04740970475333078	0.005812410181046724	0.008666685649326869	0.0013555421057175785
AdaBoostClassifier	1	0.08825935636247907	0.007828340998703172	0.010160786764962333	0.0022937951973835764
AdaBoostClassifier	2	0.17166880198887416	0.01065172585948625	0.019242116383143833	0.004053234384538919
AdaBoostClassifier	3	0.3582829066685268	0.020031629176929647	0.03064969607761928	0.003393766181271755
GradientBoostingClassifier	0	0.057994229452950616	0.005881987172737395	0.003360271453857422	0.0005186314604617799
GradientBoostingClassifier	1	0.11464170047215053	0.007841873060617125	0.004430191857474191	0.000679879817649485
GradientBoostingClassifier	2	0.23611630712236678	0.016725903276156837	0.004217829023088727	0.0005925518511459523
GradientBoostingClassifier	3	0.45573742049080984	0.024337182991637733	0.005298750741141183	0.0008443651969504069
GradientBoostingClassifier	4	0.06202861240931919	0.00449981575954484	0.0042220524379185265	0.0005913645495566953
GradientBoostingClassifier	5	0.11663862637111119	0.007800262125097369	0.004373243876865932	0.0006497880281990695
GradientBoostingClassifier	6	0.23168471881321498	0.013753168085038589	0.004869733537946429	0.0006423442978160856
GradientBoostingClassifier	7	0.4679534775870187	0.027151580101192972	0.0053658826010567805	0.0009919950887453395
GradientBoostingClassifier	8	0.0636052063533238	0.00595757957377884	0.004147904259817941	0.0003538178272004987
GradientBoostingClassifier	9	0.11999174526759557	0.009057982365516446	0.004147359303065709	0.0005161123826901805
GradientBoostingClassifier	10	0.2265768391745431	0.0049310532999024695	0.004226173673357282	0.0003605426225264513
GradientBoostingClassifier	11	0.460108893258231	0.0268701801239892	0.004876136779785156	0.0003355337144959234
GradientBoostingClassifier	12	0.05368736812046596	0.001673254412122335	0.003863164356776646	0.0005803206547719672
GradientBoostingClassifier	13	0.1169205733707973	0.008829451449194942	0.004147563661847796	0.0006416099999155365
GradientBoostingClassifier	14	0.2284973008292062	0.018336734295456757	0.004737888063703265	0.000654685218447656
GradientBoostingClassifier	15	0.45443058013916016	0.02452521371554466	0.004648174558367048	0.0005184677731647989
SMOTE__ExtraTreesClassifier	0	0.01265474728175572	0.00145518618232691	0.004430157797677177	0.0008233634238285697
SMOTE__ExtraTreesClassifier	1	0.014874253954206194	0.0011285791435065543	0.004722118377685547	0.0007944582774599454
SMOTE__ExtraTreesClassifier	2	0.013372659683227539	0.0018132535601029917	0.003861222948346819	0.0005804629012486395
SMOTE__ExtraTreesClassifier	3	0.01444145611354283	0.0017246642938071911	0.004650184086390904	0.0006400971060743702
SMOTE__ExtraTreesClassifier	4	0.013440540858677455	0.0017221905116127504	0.004577568599155971	0.0005658853902378842
SMOTE__ExtraTreesClassifier	5	0.015660933085850308	0.002478934055204185	0.004865782601492745	0.0006363283067337489
SMOTE__ExtraTreesClassifier	6	0.01229708535330636	0.002188684551188409	0.003720181328909738	0.0005225535887863496
SMOTE__ExtraTreesClassifier	7	0.014413799558367048	0.0026562797500567863	0.004651580538068499	0.0006921512616621826
SMOTE__ExtraTreesClassifier	8	0.012239183698381697	0.0007930069358919585	0.0037260736737932476	0.00036204376760028476
SMOTE__ExtraTreesClassifier	9	0.024259533200945173	0.004329787258944577	0.005013397761753627	0.0008093910582029118
SMOTE__ExtraTreesClassifier	10	0.022107805524553572	0.0020792925596586887	0.005151373999459403	0.001188042591367723
SMOTE__ExtraTreesClassifier	11	0.02947402000427246	0.004299703539331955	0.005722829273768834	0.0009966246789948883
SMOTE__ExtraTreesClassifier	12	0.02225041389465332	0.0037043978914293534	0.004723208291190011	0.0007995743642223693
SMOTE__ExtraTreesClassifier	13	0.02611708641052246	0.004477975665429903	0.00529306275503976	0.0009220113715152773
SMOTE__ExtraTreesClassifier	14	0.02590322494506836	0.004604973953139921	0.005005461829049247	0.0010732389259599788
SMOTE__ExtraTreesClassifier	15	0.024524927139282227	0.0030940245645206246	0.005581106458391462	0.0007321869048543372
SMOTE__ExtraTreesClassifier	16	0.024310520717075894	0.005136549898860469	0.00560072490147182	0.0010890069154250595
SMOTE__ExtraTreesClassifier	17	0.025260312216622487	0.004115816887403904	0.0048651354653494695	0.0010608253683186703
SMOTE__ExtraTreesClassifier	18	0.047297886439732144	0.006430979286585139	0.00759199687412807	0.0012978843840658724
SMOTE__ExtraTreesClassifier	19	0.05188298225402832	0.004626106803169616	0.007294041769845145	0.0014376447248458336
SMOTE__ExtraTreesClassifier	20	0.04921139989580427	0.0054605742395458555	0.007676465170724052	0.0016084654637685755
SMOTE__ExtraTreesClassifier	21	0.043924808502197266	0.005526359810279179	0.007149253572736468	0.0009084870912002826
SMOTE__ExtraTreesClassifier	22	0.048509836196899414	0.007100837942928565	0.007177761622837612	0.0010465822068142802
SMOTE__ExtraTreesClassifier	23	0.05047675541469029	0.006639298519125882	0.007946559361049108	0.0011183856733208498
SMOTE__ExtraTreesClassifier	24	0.03892857687813895	0.004654448809514117	0.005945444107055664	0.000575938755999639
SMOTE__ExtraTreesClassifier	25	0.046139887401035855	0.006607443892448886	0.007596492767333984	0.0009051543693193667
SMOTE__ExtraTreesClassifier	26	0.04786675316946847	0.006992870587561933	0.007440464837210519	0.0015482976523457058
SMOTE__ExtraTreesClassifier	27	0.018169709614345005	0.0023928171889724473	0.005076135907854352	0.0007275051119882929
SMOTE__ExtraTreesClassifier	28	0.018231800624302456	0.003331080547852767	0.004933834075927734	0.0007756591494512419
SMOTE__ExtraTreesClassifier	29	0.015732663018362864	0.0018899814201656236	0.004805088043212891	0.0004528823331645767
SMOTE__ExtraTreesClassifier	30	0.015601362500871931	0.0023297288559996597	0.004293033054896763	0.0009594831221113496
SMOTE__ExtraTreesClassifier	31	0.016681466783796037	0.0021998091780976313	0.004363468715122768	0.0007429411346911189
SMOTE__ExtraTreesClassifier	32	0.018246207918439592	0.0016992645334980906	0.004895755222865513	0.0009004835649839297
SMOTE__ExtraTreesClassifier	33	0.014459916523524694	0.0018806113365376221	0.00436326435634068	0.000916097547409427
SMOTE__ExtraTreesClassifier	34	0.018181255885532925	0.0021354165001169364	0.004815305982317243	0.0007315563026614804
SMOTE__ExtraTreesClassifier	35	0.0189016546521868	0.002068611930566961	0.005075829369681222	0.0007307533045147871
SMOTE__ExtraTreesClassifier	36	0.0274813175201416	0.003890922840303099	0.005658320018223354	0.0005094774280116158
SMOTE__ExtraTreesClassifier	37	0.03491813795907157	0.001122873534062375	0.0066465990883963445	0.0006366100505657129
SMOTE__ExtraTreesClassifier	38	0.026897055762154714	0.002244721031112455	0.005079541887555804	0.0006242321560928643
SMOTE__ExtraTreesClassifier	39	0.030557802745274136	0.0035732134301098457	0.00586874144417899	0.0011359897041517473
SMOTE__ExtraTreesClassifier	40	0.02668830326625279	0.0032247221527716714	0.005077907017299107	0.0001761045327995436
SMOTE__ExtraTreesClassifier	41	0.03541316304888044	0.0034034040300005746	0.006301709583827427	0.0009087753674401891
SMOTE__ExtraTreesClassifier	42	0.02883843013218471	0.002460550988354082	0.0056476593017578125	0.0005124600590287641
SMOTE__ExtraTreesClassifier	43	0.027342557907104492	0.002710273975173021	0.005220174789428711	0.0005876449431998867
SMOTE__ExtraTreesClassifier	44	0.028403077806745256	0.002046448122761412	0.005113124847412109	0.000598110345032601
SMOTE__ExtraTreesClassifier	45	0.055482523781912665	0.005305634770027082	0.009155171258108956	0.0013057076696868077
SMOTE__ExtraTreesClassifier	46	0.06033968925476074	0.003547582626677886	0.00911961283002581	0.000731120202373505
SMOTE__ExtraTreesClassifier	47	0.0628457750592913	0.005217939661894113	0.008797304970877511	0.0010663954712205278
SMOTE__ExtraTreesClassifier	48	0.05493974685668945	0.007863048817062544	0.008448021752493722	0.0012999623229140334
SMOTE__ExtraTreesClassifier	49	0.0548816408429827	0.004946932472208824	0.008343151637486048	0.0014979761057918185
SMOTE__ExtraTreesClassifier	50	0.05715400832039969	0.007100179669786349	0.00823838370186942	0.001149867017980311
SMOTE__ExtraTreesClassifier	51	0.053624085017613	0.0066662162251790065	0.008313860212053572	0.0009945435113369976
SMOTE__ExtraTreesClassifier	52	0.05682832854134696	0.00618666307375268	0.008510828018188477	0.0010419130400527799
SMOTE__ExtraTreesClassifier	53	0.05715111323765346	0.006978583797969685	0.008368560246058874	0.001127347224384409
SMOTE__ExtraTreesClassifier	54	0.027284656252179827	0.0034910861268527254	0.005950144359043666	0.0009653001979898918
SMOTE__ExtraTreesClassifier	55	0.025535481316702708	0.003247115756965187	0.00529548100062779	0.0006543362727075935
SMOTE__ExtraTreesClassifier	56	0.028253146580287387	0.0032469127602946417	0.005149739129202706	0.000586157313222129
SMOTE__ExtraTreesClassifier	57	0.024984053203037808	0.004013688053210508	0.00565058844430106	0.001249303128154136
SMOTE__ExtraTreesClassifier	58	0.02791353634425572	0.004750950528132286	0.00559922627040318	0.0003346016568943303
SMOTE__ExtraTreesClassifier	59	0.030765431267874583	0.004426265766086	0.00600818225315639	0.0005361200825457114
SMOTE__ExtraTreesClassifier	60	0.028493029730660573	0.003654568028376695	0.006007773535592216	0.0005358998854928023
SMOTE__ExtraTreesClassifier	61	0.028320244380405972	0.004899277469314919	0.005151169640677316	0.0010631040089998942
SMOTE__ExtraTreesClassifier	62	0.02632096835545131	0.0025185756941160597	0.0048623425619942805	0.0004443498711204302
SMOTE__ExtraTreesClassifier	63	0.049515792301722934	0.007535849660027932	0.008436168943132673	0.0014786859898891218
SMOTE__ExtraTreesClassifier	64	0.05100212778363909	0.005442318272121973	0.008436271122523717	0.0010847085173247878
SMOTE__ExtraTreesClassifier	65	0.05423644610813686	0.005934425765824738	0.008886541639055525	0.0008792534046294636
SMOTE__ExtraTreesClassifier	66	0.053817851202828546	0.0028085419740364625	0.008158820016043527	0.0009924489030775417
SMOTE__ExtraTreesClassifier	67	0.05037147658211844	0.005449912951795417	0.007301671164376395	0.0009615844508780816
SMOTE__ExtraTreesClassifier	68	0.054886579513549805	0.0055698315915976	0.007963010243007116	0.0009537686975156345
SMOTE__ExtraTreesClassifier	69	0.049191645213535855	0.006285617542270346	0.008741651262555803	0.0015917199087466492
SMOTE__ExtraTreesClassifier	70	0.0520127500806536	0.007118286852119764	0.007435389927455357	0.0009435671462929383
SMOTE__ExtraTreesClassifier	71	0.05457414899553571	0.00875803582813363	0.007656540189470563	0.0012212046019223141
